id;start_date;end_date;department_id;job_id;employee_id
1;2025-07-04T15:08:55;2025-07-04T18:37:40;1;1;1
2;2025-07-05T04:39:49;2025-07-05T00:00:46;2;2;2
3;2025-07-04T18:25:46;2025-07-05T00:09:28;3;3;3
4;2025-07-04T10:09:19;2025-07-05T06:36:17;4;4;4
5;2025-07-04T13:08:15;2025-07-04T10:04:57;5;5;5
6;2025-07-05T03:44:22;2025-07-04T23:17:05;6;6;6
7;2025-07-05T00:15:21;2025-07-04T11:59:00;7;7;7
8;2025-07-04T16:04:59;2025-07-04T20:14:33;8;8;8
9;2025-07-04T20:20:12;2025-07-05T04:23:32;9;9;9
10;2025-07-05T05:13:30;2025-07-04T16:21:53;10;10;10
