id;street_address;postal_code;city;state_province;country_id
1;failing inexperienced;bitterly monocle;West Malvina;meanwhile stigmatize;1
2;patiently pfft;along;Wintheiserbury;that how um;2
3;meh;indeed;New Jamisonmouth;affectionate;3
4;eyeliner staid;who deer;New Kayla;honestly;4
5;shore;essence yahoo guest;Josianeville;sorrowful yowza;5
6;consequently;outside aha;Wheaton;who past;6
7;tuxedo communicate;wherever ouch;Rigobertocester;hourly unfortunately;7
8;gadzooks times;afore;New Aylintown;incidentally whereas;8
9;reflate wallaby;besides practical;Trantowfurt;where though er;9
10;ick;humidity;New Allie;ew;10
